AS037;Koshiki  
AS038;Ayon  
AS039;Komandorski  
AS040;Goto  
AS041;Oki  
AS042;Severnaya Z  
AS043;Nampo  
AS044;Shantarskiy  
AS045;Ullung  
AS046;Johor East/Pah  
AS047;Daito  
AS048;De Long  
AS049;Tokara  
AS050;Sergeya Kir  
AS051;Spratly  
AS052;Okino Torishim  
AS053;Phuket  
AS054;Koms. Pravdy  
AS055;Vize  
AS056;Danjo  
AS057;Uyedineniya  
AS058;Perlis/Kedah  
AS059;Zav'yalova  
AS060;Chollanam Do 
AS061;Ratmanova  
AS062;Habomai  
AS063;Petra/Andre  
AS064;Karaginskiy  
AS065;Kolyuchin  
AS066;Russkiy  
AS067;Uji  
AS068;Kamennyye  
AS069;Iony  
AS070;Gusmp  
AS070;Arakamchech  
AS072;Perak  
AS073;Terengganu  
AS074;Selangor  
AS075;Macau  
AS076;Shikoku  
AS077;Kyushu  
AS078;Hokkaido  
AS079;Miyako  
AS080;Chungchongn  
AS081;Kyongsangna  
AS082;Dunay/Muost  
AS083;Belyy/Oleniy  
AS084;Ch'uja  
AS085;Soan  
AS086;Izvestiy Ts  
AS087;Arktichesko  
AS088;Persian Gulf  
AS089;Sharopovy K  
AS090;Tokchok  
AS091;Ptichiy  
AS092;K. Meechkyn  
AS093;Huksan  
AS094;Hainan  
AS095;Krasheninnik  
AS096;St. Mary Isles  
AS097;Johor W./Mel  
AS098;Anatolia SW  
AS099;Anatolia West  
AS100;Akhziv  
AS101;Samui  
AS102;Kin men 
AS103;P'eng Hu 
AS104;Nansena  
AS105;Kyonggi Do 
AS106;Minicoy  
AS107;Samet  
AS108;Ramkin  
AS109;Narechi  
AS110;Pratas  
AS111;Abu'Ali  
AS112;Daymaniyat  
AS113;Ma Tsu 
AS114;Baidukov  
AS115;Anatolia South  
AS116;Scarborough  
AS117;Honshu Coast  
AS118;Persian Gulf  
AS119;Musandam  
AS120;Cyprus Coast  
AS121;Nordenshelda  
AS122;Paengnyong  
AS123;Anatolia SE  
AS124;Gulf of Oman  
AS125;Koh Chang  
AS126;Butang  
AS127;Chittagong  
AS128;Mekong Delta West group  
AS129;Guangdong province east group  
AS130;Con Son group  
AS131;Guangdong province west group  
AS132;Fai Tsi Long Archipelago  
AS133;Gulf of Thailand group  
AS134;Hebei/Tianjin province group  
AS135;Shandong province south group  
AS136;Jiangsu province group  
AS137;Zhoushan archipelago  
AS138;Fujian province group  
AS139;Guangxi province group  
AS140;Khulna region group  
AN001;Adelaide  
AN002;Bouvet  
AN003;Heard  
AN004;Peter 1  
AN005;Macquarie  
AN006;Biscoe  
AN007;South Georgia  
AN008;South Orkney  
AN009;South Sandwich  
AN010;South Shetland  
AN011;Ross  
AN012;Palmer  
AN013;Joinville  
AN014;Berkner  
AN015;Queen Maud L/Ongul  
AN016;Antarctica  
AN017;Adelie L/Petrels  
AN018;Alexander  
AF001;Agalega  
AF002;Amsterdam  
AF003;Ascension  
AF004;Canary  
AF005;Cape Verde  
AF006;Diego Garcia  
AF007;Comoro  
AF008;Crozet  
AF009;Europa  
AF010;Bioko  
AF011;Glorioso  
AF012;Juan de Nova  
AF013;Madagascar  
AF014;Madeira  
AF015;St. Brandon  
AF016;Reunion  
AF017;Rodrigues  
AF018;Pantelleria  
AF019;Pelagie  
AF020;Bijagos  
AF021;Marion  
AF022;St. Helena  
AF023;Sao Tome  
AF024;Seychelles  
AF025;Aldabra  
AF026;Cosmoledo  
AF027;Mayotte  
AF028;Socotra  
AF029;Tristan da Cuhna  
AF030;Gough  
AF031;Tromelin  
AF032;Zanzibar  
AF033;Amirante  
AF034;Bassas da Indi  
AF035;Farquhar  
AF036;Chafarinas  
AF037;Banana  
AF038;Dahlak  
AF039;Annobon  
AF040;Coast Prov. N.  
AF041;Egmont  
AF042;Alboran  
AF043;Estuaire Prov  
AF044;Principe  
AF045;Atlantic Coast North  
AF046;Desertas  
AF047;Selvagens  
AF048;Kerguelen  
AF049;Mauritius  
AF050;Nouadhibou Pr  
AF051;Los  
AF052;Indian Ocean Coast West  
AF053;Gulf of Aden  
AF054;Mafia  
AF055;Penguin  
AF056;Southern Prov  
AF057;Malagasy Coast  
AF058;Salomon  
AF059;Saouabia  
AF060;Bijol  
AF061;Cabo Delgado  
AF062;Suakin Archipelago  
AF063;Pemba  
AF064;Dassen  
AF065;Mogador  
AF066;Maputo/Gaza  
AF067;Coast Prov.s  
AF068;Herne  
AF069;Maputo/Gaza  
AF070;Atlantic Coast South  
AF071;Geyser Bank  
AF072;Inhambane  
AF073;Qerqenah  
AF074;Lindi/Mtwara Region  
AF075;Dar es Salaam/Pwani  
AF076;Gulf of Guinea  
AF077;Cape Province  
AF078;Atlantic Coast South Group  
AF079;Cape Province Indian Ocean coast Group 
AF080;Red Sea Coast North group  
AF081;Red Sea Coast South group  
